State/Local,Condition,BR Key,Bridge Id,County,Municipality,Location/Structure Name,Feature Carried,Feature Intersected,Owner,Length (ft),Deck Area (sq ft),Number of Spans,Material,Structure Type,Year Built,Posting Status,Weight Limit Single,Weight Limit Combination,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Planning Partner,Average Daily Traffic
S,Good,502,02000803100745,ALLEGHENY,Hampton Township,.5 MI. SOUTH OF SR 1010,RT 0008 NB SB,GOURDHEAD RUN,STATE HIGHWAY AGENCY,46,2916.4,1,Steel,I beams,1931,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,8 - Very Good,7 - Good,N - Not applicable.,SPC,20118
S,Good,504,02000803601428,ALLEGHENY,Hampton Township,1400' NORTH OF MCNEAL RD.,WILLIAM FLYNN HW,BRANCH CROUSE RUN,STATE HIGHWAY AGENCY,10,480,1,Concrete (cast in place),Arch culvert,1933,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,21332
S,Good,512,02001900100246,ALLEGHENY,Upper Saint Clair Township,AT CIRCLE DRIVE,SR 0019,BR.BRUSH RUN,STATE HIGHWAY AGENCY,20,1340,1,Concrete (cast in place),Arch culvert,1940,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,24309
S,Good,513,02300200100000,ALLEGHENY,Upper Saint Clair Township,COUNTRY CLUB RD OVER SR19,COUNTRY CLUB DR,SR 0019,STATE HIGHWAY AGENCY,72,2772,1,Concrete (cast in place),Rigid frame,1940,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,709
S,Good,514,02001900600000,ALLEGHENY,Upper Saint Clair Township,OVER SR 3004,SR 0019 NB SB,SR 3004 MCMURRAY RD,STATE HIGHWAY AGENCY,77,4427.5,1,Steel,I beams,1940,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,33282
S,Good,523,02001902101521,ALLEGHENY,Pittsburgh City,PITTSBURGH,BANKSVILLE RD,LITTLE SAW MILL RUN,STATE HIGHWAY AGENCY,16,960,1,Concrete (cast in place),Box culvert,1955,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,16856
S,Good,524,02001902300000,ALLEGHENY,Pittsburgh City,350'S.W.OF FT.PITT TUNNEL,SR 0019 NB,SR 0376 EB-WB,STATE HIGHWAY AGENCY,220,10428,4,Steel,I beams,1953,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,13157
S,Good,551,02002200901802,ALLEGHENY,North Fayette Township,OVER OAKDALE ROAD,RT 0022 EB WB,OAKDALE ROAD SR 3063,STATE HIGHWAY AGENCY,166,15770,3,Steel,I beams,1964,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,24192
S,Good,572,02002800210170,ALLEGHENY,Pittsburgh City,SR 28 WB OVER MADISON A.,SR 0028 SB,MADISON AVENUE CITY PGH,STATE HIGHWAY AGENCY,92,4195.2,1,Steel,I-welded beams,1986,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,8856
S,Good,584,02002800810940,ALLEGHENY,Millvale Borough,MILLVALE OVER RAMP A,SR 28 NB-SB,SR 8046 RAMP A,STATE HIGHWAY AGENCY,60,4602,1,Steel,I beams,1963,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,72681
