PLACECODE,MUNICIPALITY
1,40/436 - BEAR CREEK VILL
108,52/201 - ABBOTT
116,01/401 - ABBOTTSTOWN
140,35/201 - ABINGTON
148,46/101 - ABINGTON
300,10/201 - ADAMS
308,11/201 - ADAMS
316,54/201 - ADAMS
332,64/401 - ADAMSBURG
364,36/401 - ADAMSTOWN
396,55/401 - ADDISON
404,55/201 - ADDISON
540,36/402 - AKRON
572,08/401 - ALBA
588,06/201 - ALBANY
596,08/201 - ALBANY
628,25/401 - ALBION
660,39/401 - ALBURTIS
676,23/401 - ALDAN
724,02/125 - ALEPPO
740,30/201 - ALEPPO
756,31/401 - ALEXANDRIA
820,04/302 - ALIQUIPPA
836,52/202 - ALLEGANY
852,07/201 - ALLEGHENY
860,10/202 - ALLEGHENY
868,11/202 - ALLEGHENY
876,55/202 - ALLEGHENY
884,60/201 - ALLEGHENY
892,64/201 - ALLEGHENY
948,48/201 - ALLEN
988,62/401 - ALLENPORT
2000,39/301 - ALLENTOWN
2032,18/201 - ALLISON
2120,06/202 - ALSACE
2184,07/301 - ALTOONA
2264,46/401 - AMBLER
2288,04/402 - AMBRIDGE
2328,06/203 - AMITY
2336,25/201 - AMITY
2384,62/201 - AMWELL
2576,42/201 - ANNIN
2600,38/101 - ANNVILLE
2656,41/201 - ANTHONY
2664,47/201 - ANTHONY
2680,07/202 - ANTIS
2696,28/201 - ANTRIM
2712,57/201 - APOLACON
2720,03/401 - APOLLO
2752,03/402 - APPLEWOLD
2784,57/202 - ARARAT
2832,35/401 - ARCHBALD
2928,01/402 - ARENDTSVILLE
3032,32/401 - ARMAGH
3040,44/201 - ARMAGH
3056,08/202 - ARMENIA
3064,32/201 - ARMSTRONG
3072,41/202 - ARMSTRONG
3088,64/301 - ARNOLD
3120,64/402 - ARONA
3248,16/201 - ASHLAND
3264,53/401 - ASHLAND
3272,40/401 - ASHLEY
3296,11/401 - ASHVILLE
3320,02/401 - ASPINWALL
3336,23/101 - ASTON
3360,08/203 - ASYLUM
3384,15/401 - ATGLEN
3392,08/402 - ATHENS
3400,08/204 - ATHENS
3408,20/201 - ATHENS
3480,03/403 - ATWOOD
3488,53/402 - AUBURN
3496,57/203 - AUBURN
3576,52/401 - AUSTIN
3608,02/402 - AVALON
3632,18/401 - AVIS
3640,40/402 - AVOCA
3656,15/402 - AVONDALE
3688,64/403 - AVONMORE
3704,29/201 - AYR
3736,04/403 - BADEN
3912,18/202 - BALD EAGLE
3928,02/403 - BALDWIN
3952,02/101 - BALDWIN
3984,06/401 - BALLY
4032,48/401 - BANGOR
4048,13/201 - BANKS
4056,32/202 - BANKS
4136,60/408 - BARKEYVILLE
4200,11/402 - BARNESBORO
4224,27/201 - BARNETT
4240,33/201 - BARNETT
4272,11/203 - BARR
4288,31/201 - BARREE
4320,45/201 - BARRETT
4352,53/201 - BARRY
4376,36/201 - BART
4424,41/203 - BASTRESS
4432,48/402 - BATH
4560,34/201 - BEALE
4568,62/402 - BEALLSVILLE
4592,40/201 - BEAR CREEK
4608,61/401 - BEAR LAKE
4688,04/404 - BEAVER
4696,16/202 - BEAVER
4704,19/201 - BEAVER
4720,20/202 - BEAVER
4728,33/202 - BEAVER
4736,54/202 - BEAVER
4792,04/301 - BEAVER FALLS
4816,13/401 - BEAVER MEADOWS
4848,54/401 - BEAVERTOWN
4888,17/201 - BECCARIA
4896,06/402 - BECHTELSVILLE
4944,05/401 - BEDFORD
4952,05/201 - BEDFORD
4976,09/201 - BEDMINSTER
4984,18/402 - BEECH CREEK
4992,18/203 - BEECH CREEK
5144,29/202 - BELFAST
5192,17/202 - BELL
5200,33/203 - BELL
5208,64/202 - BELL
5216,02/480 - BELL ACRES
5256,14/401 - BELLEFONTE
5288,26/401 - BELLE VERNON
