STRUCTURE_NUMBER_008,BridgeCondition,SimpleOwner
000000000000488,F,PennDOT
000000000000491,F,PennDOT
000000000000492,F,PennDOT
000000000000495,F,PennDOT
000000000000496,F,PennDOT
000000000000497,F,PennDOT
000000000000498,F,PennDOT
000000000000499,F,PennDOT
000000000000501,F,PennDOT
000000000000502,G,PennDOT
000000000000506,F,PennDOT
000000000000512,G,PennDOT
000000000000513,G,PennDOT
000000000000514,G,PennDOT
000000000000524,G,PennDOT
000000000000526,F,PennDOT
000000000000531,F,PennDOT
000000000000533,F,PennDOT
000000000000535,F,PennDOT
000000000000538,F,PennDOT
000000000000539,F,PennDOT
000000000000547,F,PennDOT
000000000000548,F,PennDOT
000000000000549,G,PennDOT
000000000000550,F,PennDOT
000000000000551,G,PennDOT
000000000000552,F,PennDOT
000000000000555,F,PennDOT
000000000000557,F,PennDOT
000000000000565,F,PennDOT
000000000000566,F,PennDOT
000000000000570,G,Municipal
000000000000572,G,PennDOT
000000000000580,F,PennDOT
000000000000582,F,PennDOT
000000000000583,G,PennDOT
000000000000584,G,PennDOT
000000000000594,G,PennDOT
000000000000598,G,PennDOT
000000000000599,F,PennDOT
000000000000600,F,PennDOT
000000000000603,F,PennDOT
000000000000605,G,PennDOT
000000000000607,G,PennDOT
000000000000610,G,PennDOT
000000000000612,G,PennDOT
000000000000614,G,PennDOT
000000000000615,F,PennDOT
000000000000617,G,PennDOT
000000000000618,F,PennDOT
000000000000619,F,PennDOT
000000000000620,F,PennDOT
000000000000621,F,PennDOT
000000000000622,F,PennDOT
000000000000624,G,PennDOT
000000000000625,F,PennDOT
000000000000626,F,PennDOT
000000000000627,F,PennDOT
000000000000628,F,PennDOT
000000000000629,F,PennDOT
000000000000630,F,PennDOT
000000000000631,F,PennDOT
000000000000632,F,PennDOT
000000000000633,F,PennDOT
000000000000634,F,PennDOT
000000000000635,F,PennDOT
000000000000636,F,PennDOT
000000000000637,G,PennDOT
000000000000639,F,PennDOT
000000000000640,F,PennDOT
000000000000642,F,PennDOT
000000000000644,F,PennDOT
000000000000645,F,PennDOT
000000000000646,G,PennDOT
000000000000647,G,PennDOT
000000000000648,F,PennDOT
000000000000649,F,PennDOT
000000000000650,F,PennDOT
000000000000652,F,PennDOT
000000000000653,F,PennDOT
000000000000654,F,PennDOT
000000000000655,F,PennDOT
000000000000656,F,PennDOT
000000000000657,F,PennDOT
000000000000673,G,PennDOT
000000000000674,F,PennDOT
000000000000675,F,PennDOT
000000000000676,G,PennDOT
000000000000684,F,PennDOT
000000000000685,F,PennDOT
000000000000686,F,PennDOT
000000000000689,G,PennDOT
000000000000690,G,PennDOT
000000000000691,P,PennDOT
000000000000695,F,PennDOT
000000000000698,F,PennDOT
000000000000701,F,PennDOT
000000000000703,P,PennDOT
000000000000704,F,PennDOT
000000000000708,F,PennDOT
000000000000712,F,PennDOT
000000000000718,G,PennDOT
000000000000721,F,PennDOT
000000000000723,F,PennDOT
000000000000724,F,PennDOT
000000000000725,F,PennDOT
000000000000727,G,PennDOT
000000000000728,F,PennDOT
000000000000729,F,PennDOT
000000000000730,F,PennDOT
000000000000731,F,PennDOT
000000000000738,F,PennDOT
000000000000739,F,PennDOT
000000000000751,F,PennDOT
000000000000753,P,PennDOT
000000000000754,F,PennDOT
000000000000755,F,PennDOT
000000000000761,F,PennDOT
000000000000763,F,PennDOT
000000000000765,F,PennDOT
000000000000768,F,PennDOT
000000000000776,F,PennDOT
000000000000786,G,PennDOT
000000000000787,G,PennDOT
000000000000798,F,PennDOT
000000000000801,F,PennDOT
000000000000803,F,PennDOT
000000000000804,F,PennDOT
000000000000806,F,PennDOT
000000000000809,G,PennDOT
000000000000813,G,PennDOT
000000000000815,G,PennDOT
000000000000820,F,PennDOT
000000000000824,F,PennDOT
000000000000826,G,PennDOT
000000000000827,F,PennDOT
000000000000831,F,PennDOT
000000000000832,F,PennDOT
000000000000833,F,PennDOT
000000000000834,F,PennDOT
000000000000835,F,PennDOT
000000000000836,F,PennDOT
000000000000837,F,PennDOT
000000000000840,F,PennDOT
000000000000843,G,PennDOT
000000000000844,F,PennDOT
000000000000848,F,PennDOT
000000000000849,F,PennDOT
000000000000850,F,PennDOT
000000000000852,F,PennDOT
000000000000854,F,PennDOT
000000000000855,F,PennDOT
000000000000857,F,PennDOT
000000000000858,F,PennDOT
000000000000860,F,PennDOT
000000000000861,F,PennDOT
000000000000863,F,PennDOT
000000000000864,F,PennDOT
000000000000866,G,PennDOT
000000000000867,F,PennDOT
000000000000868,G,PennDOT
000000000000869,G,PennDOT
000000000000875,G,PennDOT
000000000000876,G,PennDOT
000000000000877,G,PennDOT
000000000000879,G,PennDOT
000000000000881,G,PennDOT
000000000000882,G,PennDOT
000000000000886,F,PennDOT
000000000000887,F,PennDOT
000000000000889,F,PennDOT
000000000000890,F,PennDOT
000000000000891,F,PennDOT
000000000000892,F,PennDOT
000000000000894,G,PennDOT
000000000000895,F,PennDOT
000000000000896,F,PennDOT
000000000000897,F,PennDOT
000000000000901,F,PennDOT
000000000000902,F,PennDOT
000000000000903,F,PennDOT
000000000000905,F,PennDOT
000000000000907,F,PennDOT
000000000000909,F,PennDOT
000000000000913,F,PennDOT
000000000000914,F,PennDOT
000000000000918,F,PennDOT
000000000000919,F,PennDOT
000000000000920,F,PennDOT
000000000000922,F,PennDOT
000000000000923,F,PennDOT
000000000000924,F,PennDOT
000000000000933,F,PennDOT
000000000000935,F,PennDOT
000000000000937,F,PennDOT
000000000000938,P,PennDOT
000000000000948,F,PennDOT
000000000000952,F,PennDOT
000000000000957,P,PennDOT
000000000000958,F,PennDOT
000000000000960,F,PennDOT
000000000000964,F,PennDOT
000000000000965,F,PennDOT
000000000000966,F,PennDOT
000000000000970,F,PennDOT
000000000000971,G,PennDOT
000000000000975,F,PennDOT
000000000000977,F,PennDOT
000000000000980,F,PennDOT
000000000000988,G,PennDOT
000000000000999,G,PennDOT
000000000001006,F,PennDOT
000000000001011,F,PennDOT
000000000001014,F,PennDOT
000000000001018,F,PennDOT
000000000001019,F,PennDOT
000000000001020,F,PennDOT
000000000001022,F,PennDOT
000000000001023,F,PennDOT
000000000001027,F,PennDOT
000000000001028,F,PennDOT
000000000001030,F,PennDOT
000000000001032,F,PennDOT
000000000001041,F,Municipal
000000000001042,F,Municipal
000000000001047,G,Municipal
000000000001056,G,PennDOT
000000000001060,P,Municipal
000000000001062,F,Municipal
000000000001068,F,PennDOT
000000000001069,F,PennDOT
000000000001078,G,PennDOT
000000000001086,F,PennDOT
000000000001087,G,PennDOT
000000000001088,F,PennDOT
000000000001089,F,PennDOT
000000000001090,F,PennDOT
000000000001093,F,PennDOT
000000000001094,F,PennDOT
000000000001095,F,PennDOT
000000000001097,F,PennDOT
000000000001098,F,PennDOT
000000000001099,F,PennDOT
000000000001100,F,PennDOT
000000000001101,F,PennDOT
000000000001102,G,PennDOT
000000000001103,F,PennDOT
000000000001104,F,PennDOT
000000000001105,F,PennDOT
000000000001108,F,PennDOT
000000000001109,P,PennDOT
000000000001111,P,PennDOT
000000000001113,F,PennDOT
000000000001116,F,PennDOT
000000000001120,F,PennDOT
000000000001133,F,PennDOT
000000000001137,F,PennDOT
000000000001143,F,PennDOT
000000000001145,F,PennDOT
000000000001152,F,PennDOT
000000000001153,F,PennDOT
000000000001157,F,PennDOT
000000000001159,F,PennDOT
000000000001163,F,PennDOT
000000000001167,F,PennDOT
000000000001170,F,PennDOT
000000000001171,F,PennDOT
000000000001173,F,PennDOT
000000000001176,F,PennDOT
000000000001177,F,PennDOT
000000000001182,F,PennDOT
000000000001183,F,PennDOT
000000000001185,F,PennDOT
000000000001188,F,PennDOT
000000000001189,F,PennDOT
000000000001192,F,PennDOT
000000000001197,F,PennDOT
000000000001198,F,PennDOT
000000000001200,F,PennDOT
000000000001201,G,PennDOT
000000000001204,F,PennDOT
000000000001206,F,PennDOT
000000000001207,F,PennDOT
