year,County,Municipal,PennDOT
2012,34.55882352941176,31.27147766323024,27.033108325297334
2013,35.767511177347245,30.66202090592334,24.202384788913957
2014,34.93253373313343,29.591836734693878,22.225816887738596
2015,33.43239227340267,32.68608414239482,20.73643410852713
2016,29.333333333333332,31.007751937984494,18.910152448913394
2017,26.843657817109147,30.970724191063177,17.3419773095624
2018,24.66765140324963,30.354391371340522,14.318479685452163
2019,22.633136094674555,30.20030816640986,11.508452535760728
2020,22.156573116691288,30.0,9.772727272727273
2021,20.967741935483872,30.165912518853695,9.10268869452543
2022,19.762258543833582,30.08982035928144,8.764553686934024
